Reksa Dana;Bulan;Y;X1;X2
Reksa Dana Cipta Gtws Equity;April 2021;0.02;0.00;0.00
Reksa Dana Cipta Gtws Equity;Mei 2021;-0.01;-0.01;0.00
Reksa Dana Cipta Gtws Equity;Juni 2021;-0.01;0.00;1.00
Reksa Dana Cipta Gtws Equity;Juli 2021;-0.02;0.01;1.00
Reksa Dana Cipta Gtws Equity;Agustus 2021;0.00;0.01;1.00
Reksa Dana Cipta Gtws Equity;September 2021;0.06;0.02;1.00
Reksa Dana Cipta Gtws Equity;Oktober 2021;0.06;0.05;1.00
Reksa Dana Cipta Gtws Equity;November 2021;-0.02;-0.01;0.00
Reksa Dana Cipta Gtws Equity;Desember 2021;0.01;0.00;1.00
Reksa Dana Cipta Prima;Maret 2020;-0.18;-0.17;0.00
Reksa Dana Cipta Prima;April 2020;0.04;0.04;1.00
Reksa Dana Cipta Prima;Mei 2020;0.01;0.00;1.00
Reksa Dana Cipta Prima;Juni 2020;0.05;0.03;1.00
Reksa Dana Cipta Prima;Juli 2020;0.06;0.05;1.00
Reksa Dana Cipta Prima;Agustus 2020;0.01;0.18;1.00
Reksa Dana Cipta Prima;September 2020;-0.09;-0.20;0.00
Reksa Dana Cipta Prima;Oktober 2020;0.06;0.05;1.00
Reksa Dana Cipta Prima;November 2020;0.11;0.09;1.00
Reksa Dana Cipta Prima;Desember 2020;0.04;0.06;1.00
Reksa Dana Cipta Prima;Januari 2021;-0.02;-0.02;0.00
Reksa Dana Cipta Prima;Februari 2021;0.02;0.06;1.00
Reksa Dana Cipta Prima;Maret 2021;-0.04;-0.04;0.00
Reksa Dana Cipta Prima;April 2021;0.01;0.00;0.00
Reksa Dana Cipta Prima;Mei 2021;-0.02;-0.01;0.00
